,data_type,country,state,year,quarter,name,type,count,amount
73,map,india,Na,2018,3,tamil nadu,TOTAL,15774078,29330092241.18405
74,map,india,Na,2018,3,uttar pradesh,TOTAL,26515356,37012114369.23937
75,map,india,Na,2018,3,madhya pradesh,TOTAL,17126985,24149742204.67322
76,map,india,Na,2018,3,andhra pradesh,TOTAL,25626061,35718044599.21416
77,map,india,Na,2018,3,tripura,TOTAL,377703,453863388.04059243
78,map,india,Na,2018,3,lakshadweep,TOTAL,1703,4339032.3119858485
79,map,india,Na,2018,3,manipur,TOTAL,189258,383331244.79412293
80,map,india,Na,2018,3,maharashtra,TOTAL,31538538,52260817733.24835
81,map,india,Na,2018,3,dadra & nagar haveli & daman & diu,TOTAL,289575,447639595.67817545
82,map,india,Na,2018,3,meghalaya,TOTAL,110290,209853661.53439403
83,map,india,Na,2018,3,andaman & nicobar islands,TOTAL,16265,55557471.13431113
84,map,india,Na,2018,3,haryana,TOTAL,8262024,16375139007.627964
85,map,india,Na,2018,3,rajasthan,TOTAL,14257098,24040768671.212967
86,map,india,Na,2018,3,ladakh,TOTAL,24864,84090977.14484604
87,map,india,Na,2018,3,punjab,TOTAL,3462108,7065687043.821184
88,map,india,Na,2018,3,assam,TOTAL,2351851,3811134989.9142647
89,map,india,Na,2018,3,jharkhand,TOTAL,8122621,8661571417.704563
90,map,india,Na,2018,3,odisha,TOTAL,30052155,23094515775.585766
91,map,india,Na,2018,3,bihar,TOTAL,14367804,20135804378.90174
92,map,india,Na,2018,3,kerala,TOTAL,3134348,5323025223.875498
93,map,india,Na,2018,3,karnataka,TOTAL,25980261,48225091755.80772
94,map,india,Na,2018,3,chandigarh,TOTAL,616936,1369354447.5343118
95,map,india,Na,2018,3,telangana,TOTAL,19332703,32030093209.72354
96,map,india,Na,2018,3,himachal pradesh,TOTAL,886754,1754041432.858025
97,map,india,Na,2018,3,west bengal,TOTAL,53705416,41843934183.177635
98,map,india,Na,2018,3,gujarat,TOTAL,11334149,17866404426.27552
99,map,india,Na,2018,3,sikkim,TOTAL,108500,235080226.95331776
100,map,india,Na,2018,3,nagaland,TOTAL,94371,241792742.9366532
101,map,india,Na,2018,3,mizoram,TOTAL,39316,116600738.12539022
102,map,india,Na,2018,3,chhattisgarh,TOTAL,3859604,6302307073.446348
103,map,india,Na,2018,3,jammu & kashmir,TOTAL,2303961,3934700999.457677
104,map,india,Na,2018,3,goa,TOTAL,339511,713166969.2382338
105,map,india,Na,2018,3,arunachal pradesh,TOTAL,131146,331726406.7413912
106,map,india,Na,2018,3,delhi,TOTAL,18547048,27375846860.618515
107,map,india,Na,2018,3,uttarakhand,TOTAL,2229132,3726573039.8585143
108,map,india,Na,2018,4,puducherry,TOTAL,307964,625691665.4234949
109,map,india,Na,2018,4,tamil nadu,TOTAL,22457444,43302073975.890976
110,map,india,Na,2018,4,uttar pradesh,TOTAL,36100767,55096743575.91497
111,map,india,Na,2018,4,madhya pradesh,TOTAL,21397555,33905608072.964783
112,map,india,Na,2018,4,andhra pradesh,TOTAL,30759548,51473779406.840416
113,map,india,Na,2018,4,tripura,TOTAL,448059,624885599.4644469
114,map,india,Na,2018,4,lakshadweep,TOTAL,1642,4463213.698222831
115,map,india,Na,2018,4,manipur,TOTAL,236110,605683559.3060112
116,map,india,Na,2018,4,maharashtra,TOTAL,46090223,79518937047.82959
117,map,india,Na,2018,4,dadra & nagar haveli & daman & diu,TOTAL,404082,658750616.8008878
118,map,india,Na,2018,4,meghalaya,TOTAL,161132,337585679.00467324
119,map,india,Na,2018,4,andaman & nicobar islands,TOTAL,23758,90548336.07445517
120,map,india,Na,2018,4,haryana,TOTAL,12950183,25390876016.455025
121,map,india,Na,2018,4,rajasthan,TOTAL,20959723,37909087083.33885
122,map,india,Na,2018,4,ladakh,TOTAL,35211,135522842.49263746
123,map,india,Na,2018,4,punjab,TOTAL,4887137,10781982573.649624
124,map,india,Na,2018,4,assam,TOTAL,3734172,5888022859.01307
125,map,india,Na,2018,4,jharkhand,TOTAL,6284043,10241916641.12223
126,map,india,Na,2018,4,odisha,TOTAL,21142798,23429869571.55922
127,map,india,Na,2018,4,bihar,TOTAL,15732401,28397997168.57623
128,map,india,Na,2018,4,kerala,TOTAL,4310654,7747361236.812299
129,map,india,Na,2018,4,karnataka,TOTAL,44812071,73008386576.05942
130,map,india,Na,2018,4,chandigarh,TOTAL,905116,2032591591.779975
131,map,india,Na,2018,4,telangana,TOTAL,28921154,49509088448.04927
132,map,india,Na,2018,4,himachal pradesh,TOTAL,1307883,2621298968.1392584
133,map,india,Na,2018,4,west bengal,TOTAL,36513548,40489619211.70402
134,map,india,Na,2018,4,gujarat,TOTAL,14733303,24830987102.78186
