,data_type,country,state,year,quarter,name,type,count,amount
65,aggregated,india,Na,2021,2,Peer-to-peer payments,TOTAL,1744272888,6163165772736.494
66,aggregated,india,Na,2021,2,Merchant payments,TOTAL,1499626469,1003530942287.5988
67,aggregated,india,Na,2021,2,Recharge & bill payments,TOTAL,685024821,300559461295.9022
68,aggregated,india,Na,2021,2,Financial Services,TOTAL,3397384,3651996523.4499955
69,aggregated,india,Na,2021,2,Others,TOTAL,9061732,5598131364.820071
70,aggregated,india,Na,2021,3,Merchant payments,TOTAL,2316924871,1426965558783.5557
71,aggregated,india,Na,2021,3,Peer-to-peer payments,TOTAL,2215575286,7429357587018.912
72,aggregated,india,Na,2021,3,Recharge & bill payments,TOTAL,714583744,349234592690.4992
73,aggregated,india,Na,2021,3,Financial Services,TOTAL,3112160,4043342762.3300233
74,aggregated,india,Na,2021,3,Others,TOTAL,13558464,7146868847.2897215
75,aggregated,india,Na,2021,4,Merchant payments,TOTAL,3152394530,1995855822160.6426
76,aggregated,india,Na,2021,4,Peer-to-peer payments,TOTAL,2716561423,9203910371491.78
77,aggregated,india,Na,2021,4,Recharge & bill payments,TOTAL,738096162,407266894783.10693
78,aggregated,india,Na,2021,4,Financial Services,TOTAL,4141629,5028434834.240034
79,aggregated,india,Na,2021,4,Others,TOTAL,14562602,9296993478.869577
80,aggregated,india,Na,2022,1,Merchant payments,TOTAL,3748851071,2272818129376.5205
81,aggregated,india,Na,2022,1,Peer-to-peer payments,TOTAL,3074250150,10505936803336.926
82,aggregated,india,Na,2022,1,Recharge & bill payments,TOTAL,749674246,447599848131.41187
83,aggregated,india,Na,2022,1,Financial Services,TOTAL,4035100,4921211866.489969
84,aggregated,india,Na,2022,1,Others,TOTAL,16393502,8422766458.459174
85,aggregated,india,Na,2022,2,Merchant payments,TOTAL,4765203787,2847096877386.341
86,aggregated,india,Na,2022,2,Peer-to-peer payments,TOTAL,3506141323,12123524700463.535
87,aggregated,india,Na,2022,2,Recharge & bill payments,TOTAL,845751926,523046092987.93964
88,aggregated,india,Na,2022,2,Financial Services,TOTAL,3272822,3889787479.819907
89,aggregated,india,Na,2022,2,Others,TOTAL,11241480,6711034131.16017
90,aggregated,india,Na,2022,3,Merchant payments,TOTAL,5618132071,3151614767860.314
91,aggregated,india,Na,2022,3,Peer-to-peer payments,TOTAL,3957113406,12837803371386.29
92,aggregated,india,Na,2022,3,Recharge & bill payments,TOTAL,956164949,607048699730.3645
93,aggregated,india,Na,2022,3,Financial Services,TOTAL,3959631,4514223164.469998
94,aggregated,india,Na,2022,3,Others,TOTAL,10005043,6725900102.770244
95,aggregated,india,Na,2022,4,Merchant payments,TOTAL,6565690145,3673601044800.037
96,aggregated,india,Na,2022,4,Peer-to-peer payments,TOTAL,4459859921,14578874324207.227
97,aggregated,india,Na,2022,4,Recharge & bill payments,TOTAL,991049281,649776847580.25
98,aggregated,india,Na,2022,4,Financial Services,TOTAL,4623387,5360528394.309982
99,aggregated,india,Na,2022,4,Others,TOTAL,10013085,7361492606.590162
100,aggregated,india,andaman-&-nicobar-islands,2018,1,Recharge & bill payments,TOTAL,4200,1845307.4673655091
101,aggregated,india,andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,TOTAL,1871,12138655.299749982
102,aggregated,india,andaman-&-nicobar-islands,2018,1,Merchant payments,TOTAL,298,452507.168646613
103,aggregated,india,andaman-&-nicobar-islands,2018,1,Financial Services,TOTAL,33,10601.419933464953
104,aggregated,india,andaman-&-nicobar-islands,2018,1,Others,TOTAL,256,184689.8662902223
105,aggregated,india,andaman-&-nicobar-islands,2018,2,Recharge & bill payments,TOTAL,6735,2320944.731074479
106,aggregated,india,andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,TOTAL,3575,24511925.231047668
